Geography,Total_Disease_Types,Overall_Avg_Prevalence,Highest_Disease_Prevalence,Most_Affected_Disease,Asthma_Avg,Atrial Fibrillation_Avg,Cancer_Avg,Chronic Kidney Disease (CKD)_Avg,Chronic Obstructive Pulmonary Disease (COPD)_Avg,Coronary Heart Disease (CHD)_Avg,Dementia_Avg,Depression_Avg,Diabetes_Avg,Eating Disorder_Avg,Epilepsy_Avg,Heart Failure_Avg,Hypertension_Avg,Mental Health_Avg,Osteoporosis_Avg,Palliative Care_Avg,Peripheral Arterial Disease (PAD)_Avg,Rheumatoid Arthritis_Avg,Stroke and TIA_Avg
Aberdeen City,19,1324.2729166666666,19237.0,Hypertension,1717.1791666666668,1331.1416666666667,1943.8479166666666,2261.9666666666667,952.5604166666666,2211.0083333333328,861.1645833333333,1659.6833333333334,2077.3,97.15416666666665,381.43333333333334,607.3458333333333,6295.868750000001,230.22708333333335,238.72083333333333,261.6458333333333,477.1104166666666,217.95833333333334,1337.8687499999999
Aberdeenshire,19,1201.5033991228072,18233.1,Hypertension,1711.6979166666667,1264.10625,1774.425,2133.2999999999997,702.7895833333333,1970.9791666666663,649.2208333333333,1512.6041666666667,1869.4729166666668,111.30833333333332,356.425,588.7729166666667,5871.170833333334,164.90416666666667,296.7583333333334,114.425,371.71041666666673,239.5666666666667,1124.9270833333333
Angus,19,1648.840899122807,26050.9,Hypertension,2311.5625,1777.3645833333333,2344.933333333333,2464.75,1371.0770833333333,2695.514583333333,1132.1499999999999,1125.0666666666668,2710.6,124.07708333333333,434.0520833333333,576.5416666666666,8590.085416666667,281.9479166666667,343.4479166666667,288.90624999999994,583.3437500000001,334.6875,1837.8687500000003
Argyll and Bute,19,1609.6947368421054,24453.8,Hypertension,2369.5354166666666,1904.239583333333,2306.9875000000006,2644.7062499999997,1054.9750000000001,2609.941666666666,813.4083333333333,1781.9979166666665,2296.36875,59.67916666666667,365.3583333333333,729.6583333333333,8273.097916666668,272.24583333333334,194.48749999999998,437.3229166666667,438.825,260.2416666666667,1771.122916666667
City of Edinburgh,19,1755.7842105263157,27199.5,Hypertension,2286.3270833333336,1856.4833333333333,2753.727083333333,2683.047916666667,1289.1666666666667,2645.0187500000006,1173.2875000000001,2017.7854166666668,2601.691666666667,151.63541666666666,411.70416666666665,694.2958333333332,8821.389583333334,341.1375,402.9166666666667,411.4375,565.7375,313.28333333333336,1939.8270833333333
Clackmannanshire,19,1229.266995614035,16245.5,Hypertension,1406.21875,1031.9479166666667,1558.2770833333332,2240.791666666667,1094.1499999999999,2006.9458333333334,614.9395833333333,2579.4854166666664,1987.6416666666667,78.00625,322.3416666666667,454.8625,5907.739583333333,183.94791666666666,59.856249999999996,155.38750000000002,411.8458333333333,183.32291666666666,1078.3645833333333
Dundee City,19,1542.9218201754386,24105.6,Hypertension,1965.5979166666666,1530.9770833333332,2028.4208333333336,2414.5770833333336,1571.716666666667,2545.0895833333334,1092.3395833333332,1249.2291666666667,2664.402083333333,82.33125,429.3145833333333,678.9625,7807.914583333334,312.63124999999997,246.9020833333333,169.03333333333333,606.85,254.69583333333333,1664.5291666666665
East Dunbartonshire,19,1648.5756578947369,24648.1,Hypertension,2415.2999999999997,1934.4416666666666,2549.1250000000005,2772.5187500000006,1160.8520833333334,2625.422916666667,753.3604166666668,2288.30625,2232.2833333333333,116.94999999999999,423.6166666666666,770.1854166666667,8192.666666666666,220.64374999999998,364.1354166666667,190.0041666666667,369.63958333333335,253.68124999999998,1689.8041666666668
East Lothian,19,1874.7822368421052,28559.7,Hypertension,2838.3562500000003,2029.1520833333334,2792.5187500000006,2716.8395833333334,1458.8062500000003,3000.085416666667,1265.9854166666667,1940.0999999999997,2874.6708333333336,164.75208333333333,456.1854166666667,812.7312499999999,9253.520833333334,338.08750000000003,404.3374999999999,312.5395833333334,576.5354166666666,393.325,1992.3333333333333
East Renfrewshire,19,395.46162280701753,6120.7,Hypertension,573.6395833333332,402.20625,569.7604166666666,639.1041666666667,261.86875000000003,677.7479166666667,145.60833333333335,653.36875,565.7104166666667,20.641666666666666,72.72291666666666,213.31249999999997,2001.2458333333334,28.629166666666663,62.23333333333334,24.510416666666668,107.02291666666666,53.25625,441.18125000000003
Eilean Siar,19,824.5928728070174,12844.5,Hypertension,1272.0083333333334,896.0270833333333,972.3937499999998,1817.0062500000001,399.12291666666664,1491.9624999999999,423.13124999999997,1088.9875,977.5541666666667,65.36041666666667,236.5583333333333,490.8854166666667,4017.8229166666665,166.29999999999998,27.097916666666666,63.27291666666667,331.53333333333336,155.45625,774.7833333333333
Falkirk,19,1766.4230263157895,25463.7,Hypertension,2442.514583333333,1681.9624999999999,1994.875,2992.954166666667,1508.2937499999998,3041.3374999999996,1036.1145833333335,2798.28125,2903.1875,72.51458333333333,430.77500000000003,678.7145833333334,8783.849999999999,226.25625000000002,187.0041666666667,244.73541666666665,555.5187500000001,286.58125,1696.5666666666668
Glasgow City,19,2104.5421052631577,30520.8,Hypertension,2592.7208333333333,2147.1791666666663,2422.275,3607.627083333333,2388.5916666666667,3615.5000000000005,1039.341666666667,2985.891666666667,3361.0187499999997,68.13958333333333,501.92083333333335,1112.4770833333332,9881.968749999998,370.0125,385.28333333333336,241.29374999999996,678.1708333333332,269.9375,2316.9500000000003
Highland,19,1713.2520833333333,24864.8,Hypertension,2622.7520833333333,1826.1604166666668,2475.575,2577.15,1055.0874999999999,2826.7520833333333,1026.79375,2108.433333333333,2647.739583333333,136.57916666666668,478.2979166666666,783.8520833333333,8384.320833333333,275.70625,293.65625,226.10833333333335,603.0875,354.1979166666667,1849.5395833333334
Inverclyde,19,2339.0175438596493,30330.8,Hypertension,3448.6479166666663,2223.9625,2467.36875,4430.95625,1934.8708333333334,4085.683333333333,1217.7583333333332,3957.214583333333,3319.5125000000003,79.78125,628.6895833333333,983.5437499999999,10612.097916666668,403.40000000000003,525.0437499999999,195.37291666666667,788.7624999999999,406.4416666666666,2732.225
Midlothian,19,2108.9071271929824,29416.0,Hypertension,2784.495833333333,2044.560416666667,2977.3291666666664,3286.7374999999997,1810.1833333333334,3243.8062499999996,1429.3770833333335,2787.7479166666667,3288.4479166666665,149.15,476.6208333333334,968.9270833333331,9931.739583333334,350.00624999999997,405.92083333333335,776.4354166666666,742.2270833333333,411.5625,2203.9604166666672
Moray,19,1254.6819078947367,19597.3,Hypertension,1808.2333333333333,1350.9416666666668,1605.7583333333332,1851.5520833333333,840.7270833333333,2055.141666666667,690.0020833333333,1602.1187499999999,2215.75,110.58125,345.88958333333335,633.8625,6262.700000000001,210.51666666666665,171.39791666666667,166.68333333333334,379.5208333333333,258.6479166666667,1278.9312499999999
North Lanarkshire,19,1181.072039473684,16669.3,Hypertension,1718.2145833333334,1141.4208333333333,1395.3041666666666,1903.2083333333337,1103.9624999999999,2144.5625,683.0958333333333,1384.78125,2192.4895833333335,32.69375,276.96041666666673,429.53749999999997,5895.341666666667,163.52708333333334,153.1875,66.75416666666666,358.79375000000005,211.14791666666667,1185.3854166666667
Orkney Islands,19,1445.1016447368422,23037.8,Hypertension,2347.925,1524.7375,1920.21875,2326.9562499999997,898.5562500000001,2167.2708333333335,645.5270833333333,998.6375000000002,2481.8,120.02083333333336,482.9437500000001,624.8104166666666,7831.141666666666,265.00416666666666,106.99375000000002,494.28958333333327,411.33125,350.51875,1458.247916666667
Perth and Kinross,19,1531.3857456140352,24599.2,Hypertension,2066.852083333333,1893.758333333334,2362.6854166666667,2011.7791666666665,1060.00625,2356.3166666666666,1027.36875,1529.7375,2432.7895833333337,104.41250000000001,449.59375,643.06875,7806.1875,302.0479166666667,293.75624999999997,164.40416666666667,470.8083333333334,308.8229166666667,1811.9333333333334
Renfrewshire,19,1575.8844298245615,21613.2,Hypertension,2015.95,1639.9958333333334,1847.3916666666667,2785.079166666667,1209.4395833333335,2706.964583333334,844.9416666666666,2427.9666666666667,2540.6,65.4375,396.5416666666667,741.8479166666667,7427.366666666668,243.61458333333334,280.7104166666667,451.63958333333335,468.58750000000003,281.97083333333336,1565.7583333333332
Scottish Borders,19,1722.8348684210525,22591.7,Hypertension,2610.6437499999997,1790.3166666666666,2303.6875,2565.31875,1298.48125,2804.0958333333333,849.4958333333334,3359.4874999999997,2628.59375,135.83541666666665,459.1583333333333,703.3354166666667,7754.722916666667,258.36875000000003,281.96875,146.81875,570.7499999999999,313.81458333333336,1898.96875
Shetland Islands,19,1803.8621710526313,30290.1,Hypertension,2833.320833333333,2112.0458333333336,2241.802083333333,3231.195833333333,802.2437500000001,2411.7770833333334,1012.9479166666665,3210.0208333333335,2395.7875,79.94375,350.3708333333334,1236.2916666666665,9300.38125,244.11041666666665,14.383333333333335,363.8125,465.59791666666666,422.7083333333333,1544.6395833333333
South Lanarkshire,19,1186.932236842105,16728.3,Hypertension,1728.1812500000003,1165.4583333333333,1533.1083333333333,2199.7291666666665,1046.3833333333334,1994.7145833333332,762.0979166666665,1404.09375,2051.485416666667,44.7875,318.5791666666667,419.6854166666667,5771.691666666667,166.14999999999998,173.26874999999998,63.63125,348.76874999999995,189.35624999999996,1170.5416666666667
Stirling,19,1196.4962719298246,18086.6,Hypertension,1634.3020833333333,1371.1770833333333,1707.15625,1784.4333333333334,838.7708333333334,1952.20625,713.5541666666664,1933.3020833333333,1783.15625,55.489583333333336,228.56458333333333,509.5208333333333,5995.210416666668,152.35208333333333,106.22708333333333,296.0708333333334,302.9583333333333,157.0,1211.9770833333332
West Dunbartonshire,19,2292.542543859649,30729.9,Hypertension,2906.2729166666663,2532.3458333333333,2585.608333333333,4275.25,2045.625,3684.402083333333,1161.1812499999999,3730.304166666667,3478.3583333333336,109.74583333333332,645.0437499999999,1212.1270833333335,10417.566666666666,292.16041666666666,545.3708333333333,376.1604166666666,840.7375000000002,370.3895833333333,2349.6583333333333
West Lothian,19,1743.7314692982457,24928.4,Hypertension,2281.78125,1693.8687499999999,2418.3624999999997,3029.8916666666664,1633.9458333333334,2741.6375000000003,921.8145833333334,2344.3270833333336,2877.2083333333335,106.89583333333333,415.22499999999997,712.0291666666667,8405.604166666666,238.4375,317.77500000000003,224.32916666666668,634.2833333333334,351.71250000000003,1781.76875
