Geography,total_gp_practices,total_list_size,gp_practice_per_100000
Aberdeen City,27,276205,9.8
Aberdeenshire,29,246991,11.7
Angus,15,114510,13.1
Argyll and Bute,29,90718,32.0
City of Edinburgh,70,615254,11.4
Clackmannanshire,4,37648,10.6
Dumfries and Galloway,32,156641,20.4
Dundee City,21,176417,11.9
East Ayrshire,15,125656,11.9
East Dunbartonshire,15,112537,13.3
East Lothian,15,121125,12.4
East Renfrewshire,15,102535,14.6
Eilean Siar,9,27077,33.2
Falkirk,22,152042,14.5
Fife,52,396470,13.1
Glasgow City,140,797919,17.5
Highland,62,248482,25.0
Inverclyde,13,81013,16.0
Midlothian,11,105260,10.5
Moray,12,96428,12.4
North Ayrshire,20,145566,13.7
North Lanarkshire,47,357913,13.1
Orkney Islands,7,22306,31.4
Perth and Kinross,23,155922,14.8
Renfrewshire,27,193401,14.0
Scottish Borders,22,121720,18.1
Shetland Islands,9,22924,39.3
South Ayrshire,19,119303,15.9
South Lanarkshire,47,353071,13.3
Stirling,23,140638,16.4
West Dunbartonshire,16,96577,16.6
West Lothian,20,208355,9.6
